0	In architecture, the frieze is the wide central section part of an entablature and may be plain in the Ionic or Doric order, or decorated with bas-reliefs. Paterae are also usually used to decorate friezes. Even when neither columns nor pilasters are expressed, on an astylar wall it lies upon the architrave and is capped by the moldings of the cornice. A frieze can be found on many Greek and Roman buildings, the Parthenon Frieze being the most famous, and perhaps the most elaborate. This style is typical for the Persians. In interiors, the frieze of a room is the section of wall above the picture rail and under the crown moldings or cornice. By extension, a frieze is a long stretch of painted, sculpted or even calligraphic decoration in such a position, normally above eye-level. Frieze decorations may depict scenes in a sequence of discrete panels. The material of which the frieze is made of may be plasterwork, carved wood or other decorative medium. In an example of an architectural frieze on the façade of a building, the octagonal Tower of the Winds in the Roman agora at Athens bears relief sculptures of the eight winds on its frieze. A pulvinated frieze is convex in section.	0,4006352,2824798,2352173,4058110,687259,3987882,3123730,310042,868811,4260939
1	Most cladoceran species live in fresh water and other inland water bodies, with only eight species being truly oceanic. The marine species are all in the family Podonidae, except for the genus Penilia. Some cladocerans inhabit leaf litter.	3,1752691,1045984,722351,399091,2671287,2115833
2	A stairway, staircase, stairwell, flight of stairs, or simply stairs, is a construction designed to bridge a large vertical distance by dividing it into smaller vertical distances, called steps. Stairs may be straight, round, or may consist of two or more straight pieces connected at angles. Special types of stairs include escalators and ladders. Some alternatives to stairs are elevators, stairlifts and inclined moving walkways.	4,2579381,3489314,4954817,4958371,1479952,614221,707173,3892330,5033195,2588157,4344921,4710026,3766389,1815864,1038113,2199586,3652373,5226981,143493,180866,835581,3251959,4084048,2110424,464475,1933860
3	Chardonnay has a long history in Italy but for a large part of it, the grape was commonly confused with Pinot blanc—often with both varieties interplanted in the same vineyard and blended together. This happened despite the fact that Chardonnay grapes get more golden-yellow in color close to harvest time and can be visually distinguished from Pinot blanc. In the Trentino-Alto Adige/Südtirol region this confusion appeared in the synonyms for each grape, with Pinot blanc being known as "Weissburgunder" (White Burgundy) and Chardonnay was known as "Gelber Weissburgunder" (Golden White Burgundy). By the late 20th century, more concentrated efforts were put into identifying Chardonnay and making pure varietal versions of the wine. In 1984, it was granted its first Denominazione di origine controllata (DOC) in the province of South Tyrol. By 2000, it was Italy's fourth most widely planted white wine grape. Though many varietal forms of Chardonnay are produced, and the numbers are increasing, for most of its history in Italian winemaking Chardonnay was a blending grape. Besides Pinot bianco, Chardonnay can be found in blends with Albana, Catarratto, Cortese, Erbaluce, Favorita, Garganega, Grecanico, Incrocio Manzoni, Nuragus, Procanico, Ribolla Gialla, Verdeca, Vermentino and Viognier. It even blended into a dry White Zinfandel-style Nebbiolo wine that is made from the white juice of the red Nebbiolo grape prior to being dyed with skin contact. Most Chardonnay plantings are located in the northern wine regions, though plantings can be found throughout Italy as far south as Sicily and Apulia. In Piedmont and Tuscany, the grape is being planted in sites that are less favorable to Dolcetto and Sangiovese respectively. In Lombardy, the grape is often used for spumante and in the Veneto it is often blended with Garganega to give more weight and structure to the wine. Chardonnay is also found in the Valle d'Aosta DOC and Friuli-Venezia Giulia wine region.	6,977220,567567,1028672,1306430,1540013,2277970,331910,1749258,51817,257541,332088,3454563,1663037,3331391,3224918,1074229,1559711,4311794,4693343
4	A signet ring is a ring bearing on its flat top surface the equivalent of a seal.  A typical signet ring has a design, often a family or personal  crest, created in intaglio so that it will leave a raised (relief) impression of the design when the ring is pressed onto liquid sealing wax. The design is often made out of agate, carnelian, or sardonyx which tend not to bind with the wax. Most smaller classical engraved gems were probably originally worn as signet rings, or as seals on a necklace.  The wearing of signet rings (from Latin "signum" meaning "sign" or "mark") dates back to ancient Egypt: the seal of a pharaoh is mentioned in the Book of Genesis. Genesis 41:42: "Removing his signet ring from his hand, Pharaoh put it on Joseph's hand; he arrayed him in garments of fine linen, and put a gold chain around his neck." Because it is used to attest to the authority of its bearer, the ring has also been seen as a symbol of power, which is why it is included in the regalia of certain monarchies. After the death of a Pope, the destruction of his signet ring is a prescribed act clearing the way for the sede vacante and subsequent election of a new Pope. Signet rings are also used as souvenir or membership attribute, e.g., class ring (typically bear the coat of arms or crest of the school), as an alternative to one with a stone. One may also have their initials engraved as a sign of their personal stature. The less noble classes began wearing and using signet rings as early as the 13th century. In the 17th century, signet rings fell out of favor in the upper levels of society, replaced by other means for mounting and carrying the signet. In the 18th century, though, signet rings again became popular, and by the 19th century, men of all classes wore them. Since at least the 16th century there have also been pseudo-signet rings where the engraving is not reversed (mirror image), as it should be if the impression is to read correctly. Rings have been used since antiquity as spy identification and in espionage. During World War II, US Air Force personnel would privately purchase signet rings with a hidden compartment that would hold small compass or hidden message. MI9 purchased a number of signet rings from Regent Street jewelers that were used to conceal compasses.	7,3791271,5042760,1294726,443491,692952,1040994,3569685,531982,1418239,4348309,1929522,265925,2764178,531664,5260411,985894,426430,2434946
5	Prior to the Great Reform Act of 1832, Surrey returned fourteen Members of Parliament (MPs), two representing the county and two each from the six boroughs of Bletchingley, Gatton, Guildford, Haslemere, Reigate and Southwark. For two centuries before the Reform Act, the dominant political network in Surrey was that of the Onslows of Clandon Park, a gentry family established in the county from the early 17th century, who were raised to the peerage in 1716. Members of the family won at least one of Surrey's two county seats in all but three of the 30 general elections between 1628 and 1768, while they took one or both of the seats for their local borough of Guildford in every election from 1660 to 1830, usually representing the Whig Party after its emergence in the late 1670s. Successive heads of the family held the post of Lord Lieutenant of Surrey continuously from 1716 to 1814. Until the modern era Surrey, apart from its northeastern corner, was quite sparsely populated in comparison with many parts of southern England, and remained somewhat rustic despite its proximity to the capital. Communications began to improve, and the influence of London to increase, with the development of turnpike roads and a stagecoach system in the 18th century. A far more profound transformation followed with the arrival of the railways, beginning in the late 1830s. The availability of rapid transport enabled prosperous London workers to settle all across Surrey and travel daily to work in the capital. This phenomenon of commuting brought explosive growth to Surrey's population and wealth, and tied its economy and society inextricably to London. There was rapid expansion in existing towns like Guildford, Farnham, and most spectacularly Croydon, while new towns such as Woking and Redhill emerged beside the railway lines. The huge numbers of incomers to the county and the transformation of rural, farming communities into a "commuter belt" contributed to a decline in the traditional local culture, including the gradual demise of the distinctive Surrey dialect. This may have survived among the "Surrey Men" into the late 19th Century, but is now extinct. Meanwhile, London itself spread swiftly across north-eastern Surrey. In 1800 it extended only to Vauxhall; a century later the city's growth had reached as far as Putney and Streatham. This expansion was reflected in the creation of the County of London in 1889, detaching the areas subsumed by the city from Surrey. The expansion of London continued in the 20th century, engulfing Croydon, Kingston and many smaller settlements. This led to a further contraction of Surrey in 1965 with the creation of Greater London, under the London Government Act 1963; however, Staines and Sunbury-on-Thames, previously in Middlesex, were transferred to Surrey, extending the county across the Thames. Surrey's boundaries were altered again in 1974 when Gatwick Airport was transferred to West Sussex. In 1849 Brookwood Cemetery was established near Woking to serve the population of London, connected to the capital by its own railway service. It soon developed into the largest burial ground in the world. Woking was also the site of Britain's first crematorium, which opened in 1878, and its first mosque, founded in 1889. In 1881 Godalming became the first town in the world with a public electricity supply. The eastern part of Surrey was transferred from the Diocese of Winchester to that of Rochester in 1877. In 1905 this area was separated to form a new Diocese of Southwark. The rest of the county, together with part of eastern Hampshire, was separated from Winchester in 1927 to become the Diocese of Guildford, whose cathedral was consecrated in 1961. During the later 19th century Surrey became important in the development of architecture in Britain and the wider world. Its traditional building forms made a significant contribution to the vernacular revival architecture associated with the Arts and Crafts Movement, and would exert a lasting influence. The prominence of Surrey peaked in the 1890s, when it was the focus	9,1133148,4978580,3069293,1443333,2450104,5374870,652981,229532,2507989,2377917,2412682,269650,269238,1204395,974989,200334,2027514,728703,2293483,947833,826912,4606699,1504728
6	Indirana semipalmata is a species of frog endemic to the Western Ghats region of southern India. They are small frogs, reaching lengths of about 36 mm (1.4 in) from snout to vent. The species breeds during the monsoons, laying their eggs on moist rocks and tree bark. Their tadpoles are terrestrial - hatching, feeding, and undergoing metamorphosis without ever entering any standing bodies of water.	14,1460316,2168414,1392117,1774961,1024089
7	This list is of Buddhist paintings from Goryeo-Dynasty Korea (918-1392). Approximately one hundred and sixty hanging scrolls are known.	99,2116707,3520719,1736527,55074,3548342,2224424,2316895,894177,588272,1922434,3851915,4028114,5196356,3687990,3688473,1905456,90015,1580568,4605915,4244217,1264446,1412061,3327621,3028403,3991882,375291,3991882,1025892,3933840,3959307,798440,3595122,1248151,4652948,2750214,2784783,3258473,3807129,3584881,4541243,3439273,3308255,4235683,2539264,446955,2881335,2782760,2024415,803346,248214,939071,2444661,723529,105966,2358048,1771862,4006792,1937660,4203323,1544418,3324031,785776,2687106,2304093,99,179877,4249886,2538008,4558591,851741,4107379,2871455,1061630,1371398,2116967,1402807,3383466,1166954,460241,3457139,2355055,3988296,5352778,1864844,4202052,4570345,119829,3424470,3647020,2548946,3988256,18095,2043141,2036894,33611,1388394,4165630,3592982,877033,1440636,1964868,1004809,5341366,3143318,3210689,1640705,13812,3530777,2534593
8	Müller returned from his post-World Cup break to sign another contract extension, this time extending his stay at Bayern until 2015. As with all of Bayern's World Cup participants, he missed much of pre-season, and his first match back was the Supercup against Schalke 04 on 7 August. He was named in the starting 11, and scored the opening goal in a 2–0 win. Two weeks later he scored the opening goal of Bayern's league season in a 2–1 home win against VfL Wolfsburg. Müller played in every match of the first half of the season, usually as a starter, but as the team struggled for results, Müller was unable to match the previous season's goalscoring exploits, being dropped to the bench, and even receiving a telling off from Louis van Gaal after missing an easy chance in a 2–0 defeat against 1. FC Kaiserslautern in August. He was philosophical about this dip in form, though, and after eight league games without a goal, he scored in a 4–1 win against Eintracht Frankfurt on 27 November; He followed that by scoring in consecutive league and cup wins against VfB Stuttgart three weeks later. These goals took his tally to eight goals in all competitions and included a spectacular goal to open the scoring in a 2–0 Champions League victory against Roma on 15 September. As his team was on its winter break, Müller was left to reflect on what he described as "an almost unbelievable first year as a pro". Müller began the second half of the season in good form, but was involved in an altercation with teammate Arjen Robben, who was angered when Müller showed his displeasure at a poor free-kick Robben took during a 3–1 win at Werder Bremen. Müller again played in every game of the season and scored 19 goals (12 in the league), but the season was less successful for Bayern, as they finished third in the league, and were knocked out of the DFB-Pokal in the semi-finals by Schalke 04 and in the round of 16 of the UEFA Champions League by Inter Milan; Bayern had won 1–0 at the San Siro, and Müller scored 31 minutes into the second leg to make it 3–1 on aggregate, but Inter levelled the score at 3–3 in the 88th minute to go through on the away goals rule. Müller's mentor Van Gaal was increasingly criticised for inflexibility in tactical, transfer and selection policy, and ultimately lost his job, being replaced with Jupp Heynckes.	18,4397727,1809815,4761698,1917473,4602753,1738107,3570663,3740385
9	The Mughals built several structures in Gaur. The two-storeyed Mughal Tahakhana complex was a resting place for viceroys. The tahkhana in Persian means a building with a cool environment. The name indicates that the complex had an indoor ventilation system to moderate humid temperatures. The complex was also used as a Sufi khanqah. The Lukochori Darwaza (hide and seek gate) was erected on the road that led to the complex. The construction of these structures can be traced to the reign of viceroy Shah Shuja. An outbreak of the plague and a change in the course of the Ganges caused the city to be abandoned. Since then the area has been a heap of ruins in the wilderness and almost overgrown with jungle.	29,5146562,2247377,307969,2618496,2462429,4031850,2130773,3416529,1382108,4983212,569300,2087403,4034662,1025443,1558211,3900548,1005570,5063585,3070727,1577735
